"STATION","NAME","DATE","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-11","5.68"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-12","1.04"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-01","6.99"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-02","4.36"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-03","5.40"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-04","2.94"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-05","1.85"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-06","2.04"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-07","3.32"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-08","1.46"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-09","5.07"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-10","4.39"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-11","3.46"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1956-12","6.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-01","2.47"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-02","1.34"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-03","3.38"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-04","3.79"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-05","3.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-06","1.62"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-07","0.64"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-08","1.71"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-09","0.36"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-10","2.67"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-11","5.76"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1957-12","6.58"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-01","9.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-02","5.88"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-03","4.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-04","7.82"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-05","4.45"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-06","2.97"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-07","3.91"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-08","5.37"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-09","7.51"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-10","4.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-11","3.36"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1958-12","1.78"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-01","2.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-02","3.45"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-03","5.81"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-04","4.44"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-05","1.24"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-06","8.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-07","8.12"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-08","2.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-09","0.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-10","4.61"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-11","4.20"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1959-12","4.64"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-01","3.05"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-02","4.85"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-03","3.23"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-04","3.52"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-05","3.80"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-06","3.46"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-07","5.18"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-08","1.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-09","5.97"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-10","2.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-11","2.49"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1960-12","4.83"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-01","2.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-02","4.94"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-03","4.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-04","6.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-05","4.52"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-06","1.68"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-07","3.29"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-08","3.18"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-09","7.05"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-10","2.47"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-11","3.19"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1961-12","3.37"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-01","3.11"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-02","4.16"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-03","1.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-04","3.86"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-05","1.87"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-06","2.33"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-07","1.61"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-08","3.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-09","4.11"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-10","8.69"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-11","3.81"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1962-12","4.53"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-01","3.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-02","2.60"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-03","4.39"
