"STATION","NAME","DATE","PRCP"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1956-12","3.35"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-01","1.65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-02","1.36"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-03","2.02"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-04","4.58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-05","2.73"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-06","4.07"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-07","3.97"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-08","0.78"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-09","4.07"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-10","1.74"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-11","2.50"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1957-12","4.22"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-01","3.18"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-02","1.11"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-03","1.88"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-04","3.42"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-05","4.82"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-06","2.74"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-07","7.43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-08","3.72"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-09","4.52"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-10","0.97"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-11","2.46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1958-12","1.11"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-01","4.00"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-02","2.15"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-03","2.11"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-04","3.33"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-05","2.56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-06","3.70"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-07","4.25"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-08","4.04"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-09","1.34"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-10","5.94"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-11","2.43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1959-12","2.78"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-01","3.01"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-02","3.16"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-03","2.07"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-04","1.37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-05","5.62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-06","2.72"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-07","3.46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-08","3.56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-09","1.84"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-10","1.65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-11","1.22"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1960-12","1.65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-01","1.95"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-02","3.13"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-03","3.49"
